compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,pIC50,n_measurements,pIC50_iqr,document_year_min,document_year_max
TRAIN_00538,CLOXVWLCRWFUQF-OKHZSEBCSA-N,CHEMBL3672687,CC1=NC2(N=C1N)c1cc(Br)ccc1C[C@]21CC[C@@H](O)CC1,C1=NC2(N=C1)c1ccccc1CC21CCCCC1,8.17,1,0.0,2015,2015
TRAIN_00539,CLRSFVMIVMUEJA-UHFFFAOYSA-N,CHEMBL3653358,CC1(c2cccc(NC(=O)c3cc(Br)co3)c2)COCC(N)=N1,O=C(Nc1cccc(C2COCC=N2)c1)c1ccco1,6.46,1,0.0,2014,2014
TRAIN_00540,CLSWHUOMCGBJCC-UHFFFAOYSA-N,CHEMBL3955352,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1C21NC(=S)N(CCC(F)(F)F)C1=O,O=C1NC(=S)NC12c1cc(OCC3CC3)ccc1CC21CCCCC1,8.0,1,0.0,2015,2015
TRAIN_00541,CLTAABGQIHWOFE-WEVDWVSBSA-N,CHEMBL4110323,C[C@@H]1C[C@@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC2CC(F)(F)C2)C3=O)C[C@H](C)[C@H]1O,O=C1N(CC2CCC2)C=NC12c1ccccc1CC21CCCCC1,8.35,1,0.0,2015,2015
TRAIN_00542,CLVLASVJMSNKRY-VEIFNGETSA-N,CHEMBL2437434,CN1C(=O)C[C@@](C)(CCc2cccc(-c3ccccc3)c2)N=C1N.O=C(O)C(F)(F)F,O=C1CC(CCc2cccc(-c3ccccc3)c2)N=CN1,5.89,1,0.0,2013,2013
TRAIN_00543,CLVVTNIMNXEYMC-WUFINQPMSA-N,CHEMBL252262,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCC2CCCCC2)cc(N2CCCC2=O)c1,O=C(NC(CCNCC1CCCCC1)Cc1ccccc1)c1cccc(N2CCCC2=O)c1,5.23,1,0.0,2008,2008
TRAIN_00544,CMIANYWOWFNDPD-JIGPKXGUSA-N,CHEMBL1165416,C[C@@]12CC[C@@H](O)[C@@H]3COC(=C31)C(=O)c1cc3c(OCCO)cccc3cc12,O=C1C2=C3C(CCCC3c3cc4ccccc4cc31)CO2,4.09,1,0.0,2010,2010
TRAIN_00545,CMNBTLFYHWUMQQ-VHHLQSIKSA-N,CHEMBL1163425,CC1=C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)C(C)C(C(=O)OCc2ccccc2)=C(C)N1CC(=O)N(C)C(C)C,O=C(NC(CCNC1CC1)Cc1ccccc1)C1=CNC=C(C(=O)OCc2ccccc2)C1,4.55,1,0.0,2010,2010
TRAIN_00546,CMRVVFISLQYZNR-UHFFFAOYSA-N,CHEMBL1093806,Nc1cccc(Cn2c(-c3ccc(Nc4cncnc4)cc3)ccc2-c2ccccc2Cl)n1,c1ccc(-c2ccc(-c3ccc(Nc4cncnc4)cc3)n2Cc2ccccn2)cc1,6.01,1,0.0,2010,2010
TRAIN_00547,CMVSHDLTAZDAKH-FXLJNVFASA-N,CHEMBL4106679,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1[C@]21N=C(N)N(C(C)C)C1=O,O=C1NC=NC12c1cc(OCC3CC3)ccc1CC21CCCCC1,7.63,1,0.0,2015,2015
TRAIN_00548,CMVSHDLTAZDAKH-UHFFFAOYSA-N,CHEMBL3890516,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(N)N(C(C)C)C1=O,O=C1NC=NC12c1cc(OCC3CC3)ccc1CC21CCCCC1,7.78,1,0.0,2015,2015
