policy,seed,recall_at_150,hit_rate_at_150,enrichment_factor_at_150,best_pIC50_at_150
surrogate_active_search,19,0.2911392405063291,0.15333333333333332,2.9366244725738397,9.1549015
greedy_surrogate,0,0.25316455696202533,0.13333333333333333,2.5535864978902953,9.0
greedy_surrogate,1,0.25316455696202533,0.13333333333333333,2.5535864978902953,10.522879
greedy_surrogate,2,0.25316455696202533,0.13333333333333333,2.5535864978902953,9.0
greedy_surrogate,3,0.189873417721519,0.1,1.9151898734177215,10.522879
greedy_surrogate,4,0.34177215189873417,0.18,3.447341772151899,9.004365
greedy_surrogate,5,0.43037974683544306,0.22666666666666666,4.341097046413502,9.1549015
greedy_surrogate,6,0.4050632911392405,0.21333333333333335,4.085738396624473,9.1549015
greedy_surrogate,7,0.3670886075949367,0.19333333333333333,3.7027004219409285,10.522879
greedy_surrogate,8,0.3037974683544304,0.16,3.0643037974683547,9.0
greedy_surrogate,9,0.46835443037974683,0.24666666666666667,4.724135021097046,9.004365
greedy_surrogate,10,0.25316455696202533,0.13333333333333333,2.5535864978902953,9.004365
greedy_surrogate,11,0.4177215189873418,0.22,4.213417721518987,9.0506096
greedy_surrogate,12,0.4050632911392405,0.21333333333333335,4.085738396624473,9.1549015
greedy_surrogate,13,0.46835443037974683,0.24666666666666667,4.724135021097046,9.0506096
greedy_surrogate,14,0.3670886075949367,0.19333333333333333,3.7027004219409285,9.1549015
greedy_surrogate,15,0.20253164556962025,0.10666666666666667,2.0428691983122365,9.0
greedy_surrogate,16,0.35443037974683544,0.18666666666666668,3.5750210970464136,9.1549015
greedy_surrogate,17,0.3924050632911392,0.20666666666666667,3.958059071729958,10.522879
greedy_surrogate,18,0.24050632911392406,0.12666666666666668,2.425907172995781,9.1549015
greedy_surrogate,19,0.2911392405063291,0.15333333333333332,2.9366244725738397,9.1549015
ucb_surrogate,0,0.35443037974683544,0.18666666666666668,3.5750210970464136,9.1549015
ucb_surrogate,1,0.4050632911392405,0.21333333333333335,4.085738396624473,9.1870871
ucb_surrogate,2,0.3291139240506329,0.17333333333333334,3.319662447257384,9.1549015
ucb_surrogate,3,0.34177215189873417,0.18,3.447341772151899,9.1549015
ucb_surrogate,4,0.31645569620253167,0.16666666666666666,3.191983122362869,10.522879
ucb_surrogate,5,0.379746835443038,0.2,3.830379746835443,10.522879
ucb_surrogate,6,0.35443037974683544,0.18666666666666668,3.5750210970464136,9.1549015
ucb_surrogate,7,0.31645569620253167,0.16666666666666666,3.191983122362869,10.522879
ucb_surrogate,8,0.3670886075949367,0.19333333333333333,3.7027004219409285,9.1549015
ucb_surrogate,9,0.4177215189873418,0.22,4.213417721518987,9.1549015
ucb_surrogate,10,0.21518987341772153,0.11333333333333333,2.170548523206751,9.1549015
ucb_surrogate,11,0.3037974683544304,0.16,3.0643037974683547,9.004365
ucb_surrogate,12,0.3924050632911392,0.20666666666666667,3.958059071729958,9.1549015
ucb_surrogate,13,0.4177215189873418,0.22,4.213417721518987,10.522879
ucb_surrogate,14,0.46835443037974683,0.24666666666666667,4.724135021097046,9.1549015
ucb_surrogate,15,0.3670886075949367,0.19333333333333333,3.7027004219409285,10.522879
ucb_surrogate,16,0.3924050632911392,0.20666666666666667,3.958059071729958,9.1549015
ucb_surrogate,17,0.4050632911392405,0.21333333333333335,4.085738396624473,10.522879
ucb_surrogate,18,0.2911392405063291,0.15333333333333332,2.9366244725738397,9.1549015
ucb_surrogate,19,0.43037974683544306,0.22666666666666666,4.341097046413502,9.1549015
