policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
random,8,80,8,0.10126582278481013,8.8239088
random,8,90,9,0.11392405063291139,8.8239088
random,8,100,10,0.12658227848101267,8.8239088
random,8,110,10,0.12658227848101267,8.8239088
random,8,120,11,0.13924050632911392,8.8239088
random,8,130,12,0.1518987341772152,8.8239088
random,8,140,13,0.16455696202531644,8.8239088
random,8,150,15,0.189873417721519,9.0
random,9,30,3,0.0379746835443038,8.8538723
random,9,40,4,0.05063291139240506,9.1549015
random,9,50,4,0.05063291139240506,9.1549015
random,9,60,4,0.05063291139240506,9.1549015
random,9,70,4,0.05063291139240506,9.1549015
random,9,80,5,0.06329113924050633,9.1549015
random,9,90,5,0.06329113924050633,9.1549015
random,9,100,7,0.08860759493670886,9.1549015
random,9,110,9,0.11392405063291139,9.1549015
random,9,120,9,0.11392405063291139,9.1549015
random,9,130,10,0.12658227848101267,9.1549015
random,9,140,10,0.12658227848101267,9.1549015
random,9,150,10,0.12658227848101267,9.1549015
random,10,30,0,0.0,8.1549015
random,10,40,1,0.012658227848101266,8.5086384
random,10,50,3,0.0379746835443038,9.004365
random,10,60,6,0.0759493670886076,9.004365
random,10,70,6,0.0759493670886076,9.004365
random,10,80,6,0.0759493670886076,9.004365
random,10,90,6,0.0759493670886076,9.004365
random,10,100,6,0.0759493670886076,9.004365
random,10,110,6,0.0759493670886076,9.004365
random,10,120,7,0.08860759493670886,9.004365
random,10,130,9,0.11392405063291139,9.004365
random,10,140,9,0.11392405063291139,9.004365
random,10,150,10,0.12658227848101267,9.004365
random,11,30,1,0.012658227848101266,8.3979397
random,11,40,1,0.012658227848101266,8.3979397
random,11,50,3,0.0379746835443038,8.6989698
random,11,60,3,0.0379746835443038,8.6989698
random,11,70,3,0.0379746835443038,8.6989698
random,11,80,3,0.0379746835443038,8.6989698
random,11,90,3,0.0379746835443038,8.6989698
random,11,100,4,0.05063291139240506,8.6989698
random,11,110,4,0.05063291139240506,8.6989698
random,11,120,4,0.05063291139240506,8.6989698
random,11,130,5,0.06329113924050633,8.6989698
random,11,140,5,0.06329113924050633,8.6989698
random,11,150,5,0.06329113924050633,8.6989698
random,12,30,2,0.02531645569620253,8.5228786
random,12,40,3,0.0379746835443038,8.6989698
random,12,50,5,0.06329113924050633,8.6989698
random,12,60,5,0.06329113924050633,8.6989698
random,12,70,6,0.0759493670886076,8.6989698
random,12,80,6,0.0759493670886076,8.6989698
random,12,90,7,0.08860759493670886,8.6989698
random,12,100,7,0.08860759493670886,8.6989698
random,12,110,8,0.10126582278481013,8.6989698
random,12,120,9,0.11392405063291139,9.0
random,12,130,9,0.11392405063291139,9.0
random,12,140,9,0.11392405063291139,9.0
random,12,150,9,0.11392405063291139,9.0
random,13,30,3,0.0379746835443038,8.6989698
random,13,40,3,0.0379746835443038,8.6989698
random,13,50,4,0.05063291139240506,8.6989698
random,13,60,4,0.05063291139240506,8.6989698
random,13,70,4,0.05063291139240506,8.6989698
random,13,80,4,0.05063291139240506,8.6989698
random,13,90,4,0.05063291139240506,8.6989698
random,13,100,4,0.05063291139240506,8.6989698
random,13,110,4,0.05063291139240506,8.6989698
random,13,120,4,0.05063291139240506,8.6989698
random,13,130,5,0.06329113924050633,8.6989698
random,13,140,9,0.11392405063291139,8.7212467
random,13,150,9,0.11392405063291139,8.7212467
random,14,30,2,0.02531645569620253,8.6989698
random,14,40,2,0.02531645569620253,8.6989698
random,14,50,2,0.02531645569620253,8.6989698
random,14,60,3,0.0379746835443038,8.6989698
random,14,70,3,0.0379746835443038,8.6989698
random,14,80,3,0.0379746835443038,8.6989698
random,14,90,3,0.0379746835443038,8.6989698
random,14,100,4,0.05063291139240506,8.8538723
random,14,110,5,0.06329113924050633,8.8538723
random,14,120,5,0.06329113924050633,8.8538723
random,14,130,5,0.06329113924050633,8.8538723
random,14,140,5,0.06329113924050633,8.8538723
random,14,150,6,0.0759493670886076,9.0
random,15,30,0,0.0,7.9208188
random,15,40,0,0.0,7.9208188
random,15,50,0,0.0,8.3010302
random,15,60,0,0.0,8.3010302
random,15,70,0,0.0,8.3010302
random,15,80,0,0.0,8.3010302
random,15,90,0,0.0,8.3010302
random,15,100,0,0.0,8.3010302
random,15,110,1,0.012658227848101266,9.0
random,15,120,2,0.02531645569620253,9.0
random,15,130,2,0.02531645569620253,9.0
random,15,140,2,0.02531645569620253,9.0
random,15,150,3,0.0379746835443038,9.1549015
random,16,30,2,0.02531645569620253,8.7212467
random,16,40,4,0.05063291139240506,8.7212467
random,16,50,4,0.05063291139240506,8.7212467
random,16,60,5,0.06329113924050633,8.7212467
random,16,70,6,0.0759493670886076,8.7212467
random,16,80,8,0.10126582278481013,10.522879
random,16,90,9,0.11392405063291139,10.522879
random,16,100,9,0.11392405063291139,10.522879
random,16,110,10,0.12658227848101267,10.522879
random,16,120,11,0.13924050632911392,10.522879
random,16,130,11,0.13924050632911392,10.522879
random,16,140,12,0.1518987341772152,10.522879
random,16,150,13,0.16455696202531644,10.522879
random,17,30,2,0.02531645569620253,8.5228786
random,17,40,2,0.02531645569620253,8.5228786
random,17,50,2,0.02531645569620253,8.5228786
random,17,60,2,0.02531645569620253,8.5228786
random,17,70,2,0.02531645569620253,8.5228786
random,17,80,2,0.02531645569620253,8.5228786
random,17,90,3,0.0379746835443038,9.0
random,17,100,3,0.0379746835443038,9.0
random,17,110,3,0.0379746835443038,9.0
random,17,120,4,0.05063291139240506,9.0
random,17,130,4,0.05063291139240506,9.0
random,17,140,6,0.0759493670886076,9.0
random,17,150,7,0.08860759493670886,9.0
random,18,30,2,0.02531645569620253,9.1549015
random,18,40,2,0.02531645569620253,9.1549015
random,18,50,4,0.05063291139240506,9.1549015
random,18,60,4,0.05063291139240506,9.1549015
